,Id,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross,Profitability,RBR,Genres,Name,Primary Profession
83,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Horror,Suzette Reyes,"director,writer,make_up_department"
83,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Romance,Suzette Reyes,"director,writer,make_up_department"
83,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Thriller,Suzette Reyes,"director,writer,make_up_department"
84,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Horror,Junshu Huang,director
84,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Romance,Junshu Huang,director
84,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Thriller,Junshu Huang,director
85,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Horror,Yun Xie,"director,actress,writer"
85,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Romance,Yun Xie,"director,actress,writer"
85,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Thriller,Yun Xie,"director,actress,writer"
86,78,1998,Cube,250000,489220,8969065,9208285,37.83314,Biography,Chris Kaye,"director,writer,producer"
86,78,1998,Cube,250000,489220,8969065,9208285,37.83314,Documentary,Chris Kaye,"director,writer,producer"
87,38,2013,Fruitvale Station,900000,16098998,17549645,32748643,37.38738111111111,Biography,Ryan Coogler,"director,writer,producer"
87,38,2013,Fruitvale Station,900000,16098998,17549645,32748643,37.38738111111111,Drama,Ryan Coogler,"director,writer,producer"
87,38,2013,Fruitvale Station,900000,16098998,17549645,32748643,37.38738111111111,Romance,Ryan Coogler,"director,writer,producer"
90,87,2011,Courageous,2000000,34522221,35185884,67708105,34.8540525,Drama,Alex Kendrick,"actor,writer,director"
92,65,2003,Cabin Fever,1500000,21158188,30351664,50009852,34.33990133333333,Horror,Travis Zariwny,"production_designer,camera_department,director"
94,72,2017,Sleight,250000,3930990,3934450,7615440,31.46176,Action,J.D. Dillard,"director,writer,producer"
94,72,2017,Sleight,250000,3930990,3934450,7615440,31.46176,Drama,J.D. Dillard,"director,writer,producer"
94,72,2017,Sleight,250000,3930990,3934450,7615440,31.46176,Sci-Fi,J.D. Dillard,"director,writer,producer"
101,74,2011,Like Crazy,250000,3395391,3728400,6873791,28.495164,Drama,Paolo Virzì,"writer,director,producer"
101,74,2011,Like Crazy,250000,3395391,3728400,6873791,28.495164,Romance,Paolo Virzì,"writer,director,producer"
102,74,2011,Like Crazy,250000,3395391,3728400,6873791,28.495164,Drama,Drake Doremus,"director,writer,producer"
102,74,2011,Like Crazy,250000,3395391,3728400,6873791,28.495164,Romance,Drake Doremus,"director,writer,producer"
103,74,2011,Like Crazy,250000,3395391,3728400,6873791,28.495164,Drama,Anchitta Noowong,"director,writer,cinematographer"
103,74,2011,Like Crazy,250000,3395391,3728400,6873791,28.495164,Romance,Anchitta Noowong,"director,writer,cinematographer"
106,67,2006,Clean,10000,138711,138711,267422,27.7422,Comedy,Graham Wright,"soundtrack,director,actor"
106,67,2006,Clean,10000,138711,138711,267422,27.7422,Drama,Graham Wright,"soundtrack,director,actor"
106,67,2006,Clean,10000,138711,138711,267422,27.7422,Horror,Graham Wright,"soundtrack,director,actor"
107,66,2007,Waitress,1500000,19097550,22217183,39814733,27.543155333333335,Drama,Steve Whelan,director
108,7,2006,Hostel,4800000,47326473,82241110,124767583,26.993246458333335,Action,Manish Gupta,"writer,director,producer"
108,7,2006,Hostel,4800000,47326473,82241110,124767583,26.993246458333335,Crime,Manish Gupta,"writer,director,producer"
108,7,2006,Hostel,4800000,47326473,82241110,124767583,26.993246458333335,Drama,Manish Gupta,"writer,director,producer"
109,7,2006,Hostel,4800000,47326473,82241110,124767583,26.993246458333335,Action,Hem Raj B.C.,"writer,director,producer"
109,7,2006,Hostel,4800000,47326473,82241110,124767583,26.993246458333335,Crime,Hem Raj B.C.,"writer,director,producer"
109,7,2006,Hostel,4800000,47326473,82241110,124767583,26.993246458333335,Drama,Hem Raj B.C.,"writer,director,producer"
110,13,2012,2016: Obama's America,2500000,33349941,33349941,64199882,26.6799528,Documentary,John Sullivan,"producer,director,writer"
111,13,2012,2016: Obama's America,2500000,33349941,33349941,64199882,26.6799528,Documentary,Dinesh D'Souza,"writer,director,producer"
114,25,2010,Blue Valentine,1000000,9737892,16566240,25304132,26.304132,Drama,Derek Cianfrance,"director,writer,cinematographer"
114,25,2010,Blue Valentine,1000000,9737892,16566240,25304132,26.304132,Romance,Derek Cianfrance,"director,writer,cinematographer"
118,14,2013,Kevin Hart: Let Me Explain,2500000,32244051,32327255,62071306,25.8285224,Comedy,Leslie Small,"director,producer,editor"
118,14,2013,Kevin Hart: Let Me Explain,2500000,32244051,32327255,62071306,25.8285224,Documentary,Leslie Small,"director,producer,editor"
119,14,2013,Kevin Hart: Let Me Explain,2500000,32244051,32327255,62071306,25.8285224,Comedy,Tim Story,"producer,director,actor"
119,14,2013,Kevin Hart: Let Me Explain,2500000,32244051,32327255,62071306,25.8285224,Documentary,Tim Story,"producer,director,actor"
122,29,2018,Unfriended: Dark Web,1000000,8866745,16434588,24301333,25.301333,Crime,Stephen Susco,"writer,producer,director"
122,29,2018,Unfriended: Dark Web,1000000,8866745,16434588,24301333,25.301333,Horror,Stephen Susco,"writer,producer,director"
122,29,2018,Unfriended: Dark Web,1000000,8866745,16434588,24301333,25.301333,Mystery,Stephen Susco,"writer,producer,director"
124,18,2011,The Grace Card,200000,2430735,2430735,4661470,24.30735,Drama,David G. Evans,"director,writer,casting_department"
127,81,2015,The Boy Next Door,4000000,36006065,53401938,85408003,22.35200075,Horror,Rob Cohen,"producer,director,actor"
127,81,2015,The Boy Next Door,4000000,36006065,53401938,85408003,22.35200075,Thriller,Rob Cohen,"producer,director,actor"
131,85,2014,Boyhood,4000000,25379975,57273049,78653024,20.663256,Drama,Richard Linklater,"producer,director,writer"
132,75,2011,Kevin Hart: Laugh at My Pain,750000,7706436,7712436,14668872,20.558496,Comedy,Leslie Small,"director,producer,editor"
132,75,2011,Kevin Hart: Laugh at My Pain,750000,7706436,7712436,14668872,20.558496,Documentary,Leslie Small,"director,producer,editor"
133,75,2011,Kevin Hart: Laugh at My Pain,750000,7706436,7712436,14668872,20.558496,Comedy,Tim Story,"producer,director,actor"
133,75,2011,Kevin Hart: Laugh at My Pain,750000,7706436,7712436,14668872,20.558496,Documentary,Tim Story,"producer,director,actor"
137,39,2016,Meet the Blacks,900000,9097072,9097072,17294144,20.215715555555555,Comedy,Deon Taylor,"director,producer,writer"
137,39,2016,Meet the Blacks,900000,9097072,9097072,17294144,20.215715555555555,Horror,Deon Taylor,"director,producer,writer"
138,31,2015,The Green Inferno,1000000,7192291,12931420,19123711,20.123711,Adventure,Eli Roth,"producer,actor,writer"
138,31,2015,The Green Inferno,1000000,7192291,12931420,19123711,20.123711,Horror,Eli Roth,"producer,actor,writer"
140,18,2012,Beasts of the Southern Wild,1800000,12795746,23265132,34260878,20.033821111111113,Adventure,Benh Zeitlin,"director,writer,composer"
140,18,2012,Beasts of the Southern Wild,1800000,12795746,23265132,34260878,20.033821111111113,Drama,Benh Zeitlin,"director,writer,composer"
140,18,2012,Beasts of the Southern Wild,1800000,12795746,23265132,34260878,20.033821111111113,Fantasy,Benh Zeitlin,"director,writer,composer"
141,95,2018,Winchester,3500000,25091816,44378040,65969856,19.848530285714286,Biography,Michael Spierig,"director,writer,visual_effects"
141,95,2018,Winchester,3500000,25091816,44378040,65969856,19.848530285714286,Drama,Michael Spierig,"director,writer,visual_effects"
141,95,2018,Winchester,3500000,25091816,44378040,65969856,19.848530285714286,Fantasy,Michael Spierig,"director,writer,visual_effects"
142,95,2018,Winchester,3500000,25091816,44378040,65969856,19.848530285714286,Biography,Peter Spierig,"director,writer,visual_effects"
142,95,2018,Winchester,3500000,25091816,44378040,65969856,19.848530285714286,Drama,Peter Spierig,"director,writer,visual_effects"
142,95,2018,Winchester,3500000,25091816,44378040,65969856,19.848530285714286,Fantasy,Peter Spierig,"director,writer,visual_effects"
143,49,2015,Exeter,25000,0,489792,464792,19.59168,Horror,Marcus Nispel,"director,producer,writer"
143,49,2015,Exeter,25000,0,489792,464792,19.59168,Mystery,Marcus Nispel,"director,producer,writer"
143,49,2015,Exeter,25000,0,489792,464792,19.59168,Thriller,Marcus Nispel,"director,producer,writer"
144,49,2015,Exeter,25000,0,489792,464792,19.59168,Horror,Ann Tramonte,"director,actress,producer"
144,49,2015,Exeter,25000,0,489792,464792,19.59168,Mystery,Ann Tramonte,"director,actress,producer"
144,49,2015,Exeter,25000,0,489792,464792,19.59168,Thriller,Ann Tramonte,"director,actress,producer"
145,48,2011,Another Earth,175000,1321194,2102779,3248973,19.56556,Drama,Mike Cahill,"visual_effects,editor,director"
145,48,2011,Another Earth,175000,1321194,2102779,3248973,19.56556,Romance,Mike Cahill,"visual_effects,editor,director"
145,48,2011,Another Earth,175000,1321194,2102779,3248973,19.56556,Sci-Fi,Mike Cahill,"visual_effects,editor,director"
146,94,2015,It Follows,2000000,14674077,23250755,35924832,18.962416,Horror,David Robert Mitchell,"writer,director,producer"
146,94,2015,It Follows,2000000,14674077,23250755,35924832,18.962416,Mystery,David Robert Mitchell,"writer,director,producer"
147,68,2001,Cure,10000,94596,94596,179192,18.9192,Drama,Bill Yip,"assistant_director,producer,actor"
148,68,2001,Cure,10000,94596,94596,179192,18.9192,Drama,Ifigeneia Dimitriou,director
152,94,2016,The Witch,3500000,25138705,40454520,62093225,18.74092142857143,Horror,Robert Eggers,"production_designer,director,costume_designer"
152,94,2016,The Witch,3500000,25138705,40454520,62093225,18.74092142857143,Mystery,Robert Eggers,"production_designer,director,costume_designer"
156,33,2012,The Sessions,1000000,6002451,11495204,16497655,17.497655,Biography,Ben Lewin,"director,writer,producer"
156,33,2012,The Sessions,1000000,6002451,11495204,16497655,17.497655,Comedy,Ben Lewin,"director,writer,producer"
156,33,2012,The Sessions,1000000,6002451,11495204,16497655,17.497655,Drama,Ben Lewin,"director,writer,producer"
160,32,2017,I Am Not Your Negro,1000000,7123919,9617402,15741321,16.741321,Documentary,Raoul Peck,"director,writer,producer"
163,18,2010,Tiny Furniture,50000,391674,424149,765823,16.31646,Comedy,Lena Dunham,"writer,actress,producer"
163,18,2010,Tiny Furniture,50000,391674,424149,765823,16.31646,Drama,Lena Dunham,"writer,actress,producer"
163,18,2010,Tiny Furniture,50000,391674,424149,765823,16.31646,Romance,Lena Dunham,"writer,actress,producer"
167,93,1995,Friday,3500000,27467564,27936778,51904342,15.829812,Family,Lijin Jose,"assistant_director,director,writer"
168,43,2014,Whiplash,3300000,13092006,38969037,48761043,15.776073636363636,Drama,Damien Chazelle,"producer,writer,director"
168,43,2014,Whiplash,3300000,13092006,38969037,48761043,15.776073636363636,Music,Damien Chazelle,"producer,writer,director"
173,97,2012,Silent House,2000000,12739737,16610760,27350497,14.6752485,Drama,Laura Lau,"producer,writer,director"
173,97,2012,Silent House,2000000,12739737,16610760,27350497,14.6752485,Horror,Laura Lau,"producer,writer,director"
173,97,2012,Silent House,2000000,12739737,16610760,27350497,14.6752485,Mystery,Laura Lau,"producer,writer,director"
174,97,2012,Silent House,2000000,12739737,16610760,27350497,14.6752485,Drama,Chris Kentis,"director,writer,editor"
174,97,2012,Silent House,2000000,12739737,16610760,27350497,14.6752485,Horror,Chris Kentis,"director,writer,editor"
174,97,2012,Silent House,2000000,12739737,16610760,27350497,14.6752485,Mystery,Chris Kentis,"director,writer,editor"
176,70,2018,Unsane,1500000,7690044,14244931,20434975,14.623316666666666,Drama,Steven Soderbergh,"producer,director,cinematographer"
176,70,2018,Unsane,1500000,7690044,14244931,20434975,14.623316666666666,Horror,Steven Soderbergh,"producer,director,cinematographer"
176,70,2018,Unsane,1500000,7690044,14244931,20434975,14.623316666666666,Mystery,Steven Soderbergh,"producer,director,cinematographer"
177,87,2010,The Kids Are All Right,4000000,20811365,36275469,53086834,14.2717085,Comedy,Lisa Cholodenko,"director,producer,writer"
177,87,2010,The Kids Are All Right,4000000,20811365,36275469,53086834,14.2717085,Drama,Lisa Cholodenko,"director,producer,writer"
177,87,2010,The Kids Are All Right,4000000,20811365,36275469,53086834,14.2717085,Romance,Lisa Cholodenko,"director,producer,writer"
179,95,2006,Brick,450000,2075743,4243996,5869739,14.043864444444445,Drama,Wenjian Ding,"director,writer"
179,95,2006,Brick,450000,2075743,4243996,5869739,14.043864444444445,Family,Wenjian Ding,"director,writer"
179,95,2006,Brick,450000,2075743,4243996,5869739,14.043864444444445,Romance,Wenjian Ding,"director,writer"
181,95,2018,Eighth Grade,2000000,13539710,14341016,25880726,13.940363,Comedy,Bo Burnham,"actor,writer,soundtrack"
181,95,2018,Eighth Grade,2000000,13539710,14341016,25880726,13.940363,Drama,Bo Burnham,"actor,writer,soundtrack"
185,35,2017,Lowriders,916000,6179955,6188421,11452376,13.502593886462883,Adventure,Ricardo de Montreuil,"director,writer,producer"
185,35,2017,Lowriders,916000,6179955,6188421,11452376,13.502593886462883,Crime,Ricardo de Montreuil,"director,writer,producer"
185,35,2017,Lowriders,916000,6179955,6188421,11452376,13.502593886462883,Drama,Ricardo de Montreuil,"director,writer,producer"
187,100,2016,Hardcore Henry,2000000,9252038,17187434,24439472,13.219736,Action,Ilya Naishuller,"director,writer,producer"
187,100,2016,Hardcore Henry,2000000,9252038,17187434,24439472,13.219736,Adventure,Ilya Naishuller,"director,writer,producer"
187,100,2016,Hardcore Henry,2000000,9252038,17187434,24439472,13.219736,Sci-Fi,Ilya Naishuller,"director,writer,producer"
188,19,2008,The Signal,50000,251150,406299,607449,13.14898,Drama,William Eubank,"cinematographer,director,writer"
188,19,2008,The Signal,50000,251150,406299,607449,13.14898,Mystery,William Eubank,"cinematographer,director,writer"
188,19,2008,The Signal,50000,251150,406299,607449,13.14898,Sci-Fi,William Eubank,"cinematographer,director,writer"
190,97,2013,Dark Skies,3500000,17418667,27704111,41622778,12.892222285714286,Horror,Scott Stewart,"producer,writer,visual_effects"
190,97,2013,Dark Skies,3500000,17418667,27704111,41622778,12.892222285714286,Sci-Fi,Scott Stewart,"producer,writer,visual_effects"
190,97,2013,Dark Skies,3500000,17418667,27704111,41622778,12.892222285714286,Thriller,Scott Stewart,"producer,writer,visual_effects"
202,59,2014,All You Need Is Love,300000,0,3565259,3265259,11.884196666666666,Documentary,Will Koopman,"miscellaneous,director,producer"
203,59,2014,All You Need Is Love,300000,0,3565259,3265259,11.884196666666666,Documentary,Richie Jen,"actor,soundtrack,director"
204,59,2014,All You Need Is Love,300000,0,3565259,3265259,11.884196666666666,Documentary,Stuart Cameron,"producer,director"
205,59,2014,All You Need Is Love,300000,0,3565259,3265259,11.884196666666666,Documentary,Andy Luo,"director,writer,composer"
206,60,2015,Do You Believe?,2300000,12985600,14304931,24990531,11.865448260869565,Drama,Jon Gunn,"writer,director,editor"
207,60,2015,Do You Believe?,2300000,12985600,14304931,24990531,11.865448260869565,Drama,Richard Tavernaro,"actor,producer,writer"
208,50,2010,Monsters,500000,237301,5639730,5377031,11.754062,Drama,Gareth Edwards,"visual_effects,director,writer"
208,50,2010,Monsters,500000,237301,5639730,5377031,11.754062,Sci-Fi,Gareth Edwards,"visual_effects,director,writer"
208,50,2010,Monsters,500000,237301,5639730,5377031,11.754062,Thriller,Gareth Edwards,"visual_effects,director,writer"
209,50,2010,Monsters,500000,237301,5639730,5377031,11.754062,Drama,Melissa Thompson,"director,producer"
209,50,2010,Monsters,500000,237301,5639730,5377031,11.754062,Sci-Fi,Melissa Thompson,"director,producer"
209,50,2010,Monsters,500000,237301,5639730,5377031,11.754062,Thriller,Melissa Thompson,"director,producer"
210,50,2010,Monsters,500000,237301,5639730,5377031,11.754062,Drama,Aksel Rifman,"director,writer,cinematographer"
210,50,2010,Monsters,500000,237301,5639730,5377031,11.754062,Sci-Fi,Aksel Rifman,"director,writer,cinematographer"
210,50,2010,Monsters,500000,237301,5639730,5377031,11.754062,Thriller,Aksel Rifman,"director,writer,cinematographer"
211,50,2010,Monsters,500000,237301,5639730,5377031,11.754062,Drama,Hua Guo,"director,writer,producer"
211,50,2010,Monsters,500000,237301,5639730,5377031,11.754062,Sci-Fi,Hua Guo,"director,writer,producer"
211,50,2010,Monsters,500000,237301,5639730,5377031,11.754062,Thriller,Hua Guo,"director,writer,producer"
214,25,2016,Hunt for the Wilderpeople,2500000,5205471,23845533,26551004,11.6204016,Adventure,Taika Waititi,"actor,producer,director"
214,25,2016,Hunt for the Wilderpeople,2500000,5205471,23845533,26551004,11.6204016,Comedy,Taika Waititi,"actor,producer,director"
214,25,2016,Hunt for the Wilderpeople,2500000,5205471,23845533,26551004,11.6204016,Drama,Taika Waititi,"actor,producer,director"
220,8,2010,Winter's Bone,2000000,6531503,16131551,20663054,11.331527,Drama,Debra Granik,"director,writer,cinematographer"
220,8,2010,Winter's Bone,2000000,6531503,16131551,20663054,11.331527,Mystery,Debra Granik,"director,writer,cinematographer"
221,77,2012,Safety Not Guaranteed,750000,4010957,4422318,7683275,11.244366666666666,Comedy,Colin Trevorrow,"writer,producer,director"
221,77,2012,Safety Not Guaranteed,750000,4010957,4422318,7683275,11.244366666666666,Drama,Colin Trevorrow,"writer,producer,director"
221,77,2012,Safety Not Guaranteed,750000,4010957,4422318,7683275,11.244366666666666,Romance,Colin Trevorrow,"writer,producer,director"
222,2,2010,Buried,1987650,1044143,21270290,20326783,11.22654038688904,Drama,Rodrigo Cortés,"writer,editor,director"
222,2,2010,Buried,1987650,1044143,21270290,20326783,11.22654038688904,Mystery,Rodrigo Cortés,"writer,editor,director"
222,2,2010,Buried,1987650,1044143,21270290,20326783,11.22654038688904,Thriller,Rodrigo Cortés,"writer,editor,director"
223,2,2010,Buried,1987650,1044143,21270290,20326783,11.22654038688904,Drama,Will Tizard,"director,actor,writer"
223,2,2010,Buried,1987650,1044143,21270290,20326783,11.22654038688904,Mystery,Will Tizard,"director,actor,writer"
223,2,2010,Buried,1987650,1044143,21270290,20326783,11.22654038688904,Thriller,Will Tizard,"director,actor,writer"
224,2,2010,Buried,1987650,1044143,21270290,20326783,11.22654038688904,Drama,Emilie Peters,"actress,miscellaneous,director"
224,2,2010,Buried,1987650,1044143,21270290,20326783,11.22654038688904,Mystery,Emilie Peters,"actress,miscellaneous,director"
224,2,2010,Buried,1987650,1044143,21270290,20326783,11.22654038688904,Thriller,Emilie Peters,"actress,miscellaneous,director"
226,54,2018,Sorry to Bother You,3200000,17493096,18285560,32578656,11.18083,Comedy,Boots Riley,"soundtrack,actor,director"
